Chromagram_Mean,Chromagram_Median,Chromagram_Std,RootMeanSquare_Mean,RootMeanSquare_Median,RootMeanSquare_Std,SpectralCentroid_Mean,SpectralCentroid_Median,SpectralCentroid_Std,SpectralBandwidth_Mean,SpectralBandwidth_Median,SpectralBandwidth_Std,Rolloff_Mean,Rolloff_Median,Rolloff_Std,ZeroCrossingRate_Mean,ZeroCrossingRate_Median,ZeroCrossingRate_Std,MFCC1_Mean,MFCC1_Median,MFCC1_Std,MFCC2_Mean,MFCC2_Median,MFCC2_Std,MFCC3_Mean,MFCC3_Median,MFCC3_Std,MFCC4_Mean,MFCC4_Median,MFCC4_Std,MFCC5_Mean,MFCC5_Median,MFCC5_Std,MFCC6_Mean,MFCC6_Median,MFCC6_Std,MFCC7_Mean,MFCC7_Median,MFCC7_Std,MFCC8_Mean,MFCC8_Median,MFCC8_Std,MFCC9_Mean,MFCC9_Median,MFCC9_Std,MFCC10_Mean,MFCC10_Median,MFCC10_Std,MFCC11_Mean,MFCC11_Median,MFCC11_Std,MFCC12_Mean,MFCC12_Median,MFCC12_Std,MFCC13_Mean,MFCC13_Median,MFCC13_Std,MFCC14_Mean,MFCC14_Median,MFCC14_Std,MFCC15_Mean,MFCC15_Median,MFCC15_Std,MFCC16_Mean,MFCC16_Median,MFCC16_Std,MFCC17_Mean,MFCC17_Median,MFCC17_Std,MFCC18_Mean,MFCC18_Median,MFCC18_Std,MFCC19_Mean,MFCC19_Median,MFCC19_Std,MFCC20_Mean,MFCC20_Median,MFCC20_Std
0.24989522,0.24989522,0.0,0.05611639,0.05611639,0.0,2035.0286411910304,2035.0286411910304,0.0,2272.6388733684125,2272.6388733684125,0.0,3840.7608032226562,3840.7608032226562,0.0,0.08439692744502315,0.08439692744502315,0.0,-339.17734,-339.17734,0.0,67.65857,67.65857,0.0,14.630672,14.630672,0.0,7.7839985,7.7839985,0.0,-5.6583395,-5.6583395,0.0,11.231407,11.231407,0.0,-12.113788,-12.113788,0.0,-1.3439505,-1.3439505,0.0,-12.515446,-12.515446,0.0,-6.7410727,-6.7410727,0.0,-1.2864462,-1.2864462,0.0,-12.748847,-12.748847,0.0,-10.672044,-10.672044,0.0,-6.2770114,-6.2770114,0.0,-13.241313,-13.241313,0.0,-2.413413,-2.413413,0.0,-9.104826,-9.104826,0.0,-8.047547,-8.047547,0.0,-7.1126833,-7.1126833,0.0,-10.03986,-10.03986,0.0
0.28136632,0.28136632,0.0,0.06672725,0.06672725,0.0,2089.5371325761134,2089.5371325761134,0.0,2313.3392307953236,2313.3392307953236,0.0,4296.47216796875,4296.47216796875,0.0,0.07664772316261574,0.07664772316261574,0.0,-333.61108,-333.61108,0.0,38.976925,38.976925,0.0,-9.670907,-9.670907,0.0,7.1185513,7.1185513,0.0,-12.199971,-12.199971,0.0,0.7134637,0.7134637,0.0,-19.780502,-19.780502,0.0,-7.8701396,-7.8701396,0.0,-8.274882,-8.274882,0.0,-15.982902,-15.982902,0.0,-6.981754,-6.981754,0.0,-10.196171,-10.196171,0.0,-10.423937,-10.423937,0.0,-7.278902,-7.278902,0.0,-2.6558611,-2.6558611,0.0,11.437911,11.437911,0.0,0.5563271,0.5563271,0.0,3.2304811,3.2304811,0.0,-0.13138078,-0.13138078,0.0,-6.399168,-6.399168,0.0
0.31974247,0.31974247,0.0,0.074152455,0.074152455,0.0,1984.9529461312054,1984.9529461312054,0.0,2315.7576580266536,2315.7576580266536,0.0,3958.6949666341147,3958.6949666341147,0.0,0.07585991753472222,0.07585991753472222,0.0,-343.2102,-343.2102,0.0,39.152756,39.152756,0.0,-8.610728,-8.610728,0.0,2.081262,2.081262,0.0,-12.070867,-12.070867,0.0,-1.4380518,-1.4380518,0.0,-21.476871,-21.476871,0.0,-10.10688,-10.10688,0.0,-1.9244653,-1.9244653,0.0,-14.17638,-14.17638,0.0,-3.539731,-3.539731,0.0,-7.126408,-7.126408,0.0,-6.6506066,-6.6506066,0.0,-7.845394,-7.845394,0.0,-6.2308106,-6.2308106,0.0,5.6517477,5.6517477,0.0,-0.425918,-0.425918,0.0,15.495393,15.495393,0.0,16.767214,16.767214,0.0,12.335755,12.335755,0.0
0.27942708,0.27942708,0.0,0.067688696,0.067688696,0.0,1995.6805826636116,1995.6805826636116,0.0,2278.173803775376,2278.173803775376,0.0,4320.622253417969,4320.622253417969,0.0,0.07559656213831019,0.07559656213831019,0.0,-332.4145,-332.4145,0.0,52.189262,52.189262,0.0,-7.222202,-7.222202,0.0,-4.3996687,-4.3996687,0.0,-30.650652,-30.650652,0.0,10.8916645,10.8916645,0.0,-13.473062,-13.473062,0.0,-7.792124,-7.792124,0.0,-10.904532,-10.904532,0.0,-11.918764,-11.918764,0.0,-4.486615,-4.486615,0.0,-12.945408,-12.945408,0.0,-9.5285635,-9.5285635,0.0,-11.505992,-11.505992,0.0,-12.882733,-12.882733,0.0,5.7525077,5.7525077,0.0,-15.875558,-15.875558,0.0,-4.044791,-4.044791,0.0,2.7839055,2.7839055,0.0,2.5417125,2.5417125,0.0
0.7258823,0.7258823,0.0,0.012243628,0.012243628,0.0,1296.1040138712606,1296.1040138712606,0.0,2424.857982524737,2424.857982524737,0.0,2720.7850138346353,2720.7850138346353,0.0,0.023301866319444444,0.023301866319444444,0.0,-580.3494,-580.3494,0.0,25.99036,25.99036,0.0,9.619696,9.619696,0.0,8.089333,8.089333,0.0,7.4233274,7.4233274,0.0,6.3834467,6.3834467,0.0,-1.0567553,-1.0567553,0.0,2.0999556,2.0999556,0.0,1.3213028,1.3213028,0.0,0.5176144,0.5176144,0.0,0.63817894,0.63817894,0.0,-0.4967674,-0.4967674,0.0,0.76835847,0.76835847,0.0,0.8378198,0.8378198,0.0,-1.1738391,-1.1738391,0.0,4.1416745,4.1416745,0.0,-0.025686052,-0.025686052,0.0,0.8083491,0.8083491,0.0,2.442448,2.442448,0.0,1.1382493,1.1382493,0.0
0.3266728,0.3266728,0.0,0.04713108,0.04713108,0.0,1839.5347336599157,1839.5347336599157,0.0,2228.305158958774,2228.305158958774,0.0,3862.6180013020835,3862.6180013020835,0.0,0.0691539623119213,0.0691539623119213,0.0,-396.24536,-396.24536,0.0,47.082836,47.082836,0.0,0.3961905,0.3961905,0.0,0.818574,0.818574,0.0,-28.489847,-28.489847,0.0,3.9937983,3.9937983,0.0,-9.915932,-9.915932,0.0,-5.048586,-5.048586,0.0,-16.69708,-16.69708,0.0,-8.309077,-8.309077,0.0,1.3108377,1.3108377,0.0,-11.215481,-11.215481,0.0,-2.8445613,-2.8445613,0.0,-6.966173,-6.966173,0.0,-14.338403,-14.338403,0.0,4.531559,4.531559,0.0,-10.336866,-10.336866,0.0,-6.015473,-6.015473,0.0,-1.0336862,-1.0336862,0.0,-3.2909987,-3.2909987,0.0
0.6182584,0.6182584,0.0,0.028628886,0.028628886,0.0,1564.6260524458087,1564.6260524458087,0.0,2381.1590443045607,2381.1590443045607,0.0,3189.5309448242188,3189.5309448242188,0.0,0.04358362268518518,0.04358362268518518,0.0,-495.04413,-495.04413,0.0,16.18576,16.18576,0.0,-2.4469907,-2.4469907,0.0,2.4316914,2.4316914,0.0,-11.077757,-11.077757,0.0,6.7849317,6.7849317,0.0,-5.8301,-5.8301,0.0,-4.0639133,-4.0639133,0.0,-5.1238403,-5.1238403,0.0,-0.95663,-0.95663,0.0,0.67130506,0.67130506,0.0,-2.9731383,-2.9731383,0.0,-1.8553915,-1.8553915,0.0,-1.6596344,-1.6596344,0.0,-4.417496,-4.417496,0.0,2.6624908,2.6624908,0.0,-3.9056492,-3.9056492,0.0,4.0415463,4.0415463,0.0,7.213147,7.213147,0.0,8.700634,8.700634,0.0
0.48307356,0.48307356,0.0,0.03643569,0.03643569,0.0,1748.093801056456,1748.093801056456,0.0,2258.6643052693157,2258.6643052693157,0.0,3515.8686319986978,3515.8686319986978,0.0,0.05810546875,0.05810546875,0.0,-433.98865,-433.98865,0.0,38.781105,38.781105,0.0,-4.289912,-4.289912,0.0,9.825231,9.825231,0.0,-9.260606,-9.260606,0.0,5.6604576,5.6604576,0.0,-11.131001,-11.131001,0.0,-6.1092386,-6.1092386,0.0,-3.0321255,-3.0321255,0.0,-7.6551003,-7.6551003,0.0,-0.3840079,-0.3840079,0.0,-4.859997,-4.859997,0.0,-6.440227,-6.440227,0.0,-5.838998,-5.838998,0.0,-6.208233,-6.208233,0.0,1.6648921,1.6648921,0.0,-7.4158297,-7.4158297,0.0,-4.193092,-4.193092,0.0,-0.5656302,-0.5656302,0.0,-5.6271787,-5.6271787,0.0
0.25493583,0.25493583,0.0,0.049692366,0.049692366,0.0,1953.7095383466528,1953.7095383466528,0.0,2228.3763253745074,2228.3763253745074,0.0,3756.9208780924478,3756.9208780924478,0.0,0.07899644639756945,0.07899644639756945,0.0,-368.72018,-368.72018,0.0,60.90815,60.90815,0.0,1.2896141,1.2896141,0.0,3.0436914,3.0436914,0.0,-18.433775,-18.433775,0.0,-1.4234972,-1.4234972,0.0,-12.617132,-12.617132,0.0,-6.4001536,-6.4001536,0.0,-18.37462,-18.37462,0.0,-11.612377,-11.612377,0.0,-0.043992996,-0.043992996,0.0,-18.246239,-18.246239,0.0,-8.979963,-8.979963,0.0,-8.406078,-8.406078,0.0,-14.089921,-14.089921,0.0,3.19584,3.19584,0.0,-5.2453194,-5.2453194,0.0,-7.449703,-7.449703,0.0,-2.858279,-2.858279,0.0,-2.227002,-2.227002,0.0
0.35895067,0.35895067,0.0,0.045264572,0.045264572,0.0,1837.8459036279853,1837.8459036279853,0.0,2266.5805352228313,2266.5805352228313,0.0,3710.3154500325522,3710.3154500325522,0.0,0.06028917100694445,0.06028917100694445,0.0,-395.3903,-395.3903,0.0,48.10508,48.10508,0.0,-3.5441432,-3.5441432,0.0,13.248409,13.248409,0.0,-15.690602,-15.690602,0.0,-1.5538135,-1.5538135,0.0,-10.980923,-10.980923,0.0,-1.8863708,-1.8863708,0.0,-8.518312,-8.518312,0.0,-12.170608,-12.170608,0.0,-1.2739638,-1.2739638,0.0,-11.077506,-11.077506,0.0,-7.5650625,-7.5650625,0.0,-7.5709076,-7.5709076,0.0,-7.8840446,-7.8840446,0.0,-1.7771878,-1.7771878,0.0,-6.4129376,-6.4129376,0.0,-6.1478353,-6.1478353,0.0,-2.0477443,-2.0477443,0.0,-8.484856,-8.484856,0.0
