Chromagram_Mean,Chromagram_Median,Chromagram_Std,RootMeanSquare_Mean,RootMeanSquare_Median,RootMeanSquare_Std,SpectralCentroid_Mean,SpectralCentroid_Median,SpectralCentroid_Std,SpectralBandwidth_Mean,SpectralBandwidth_Median,SpectralBandwidth_Std,Rolloff_Mean,Rolloff_Median,Rolloff_Std,ZeroCrossingRate_Mean,ZeroCrossingRate_Median,ZeroCrossingRate_Std,MFCC1_Mean,MFCC1_Median,MFCC1_Std,MFCC2_Mean,MFCC2_Median,MFCC2_Std,MFCC3_Mean,MFCC3_Median,MFCC3_Std,MFCC4_Mean,MFCC4_Median,MFCC4_Std,MFCC5_Mean,MFCC5_Median,MFCC5_Std,MFCC6_Mean,MFCC6_Median,MFCC6_Std,MFCC7_Mean,MFCC7_Median,MFCC7_Std,MFCC8_Mean,MFCC8_Median,MFCC8_Std,MFCC9_Mean,MFCC9_Median,MFCC9_Std,MFCC10_Mean,MFCC10_Median,MFCC10_Std,MFCC11_Mean,MFCC11_Median,MFCC11_Std,MFCC12_Mean,MFCC12_Median,MFCC12_Std,MFCC13_Mean,MFCC13_Median,MFCC13_Std,MFCC14_Mean,MFCC14_Median,MFCC14_Std,MFCC15_Mean,MFCC15_Median,MFCC15_Std,MFCC16_Mean,MFCC16_Median,MFCC16_Std,MFCC17_Mean,MFCC17_Median,MFCC17_Std,MFCC18_Mean,MFCC18_Median,MFCC18_Std,MFCC19_Mean,MFCC19_Median,MFCC19_Std,MFCC20_Mean,MFCC20_Median,MFCC20_Std
0.22278261,0.22278261,0.0,0.060188852,0.060188852,0.0,2742.153677176754,2742.153677176754,0.0,2452.3284660396826,2452.3284660396826,0.0,5025.305034168358,5025.305034168358,0.0,0.14230396244199536,0.14230396244199536,0.0,-352.2813,-352.2813,0.0,17.655008,17.655008,0.0,-28.058113,-28.058113,0.0,-3.7650325,-3.7650325,0.0,-28.623709,-28.623709,0.0,-24.522486,-24.522486,0.0,6.306895,6.306895,0.0,-24.610023,-24.610023,0.0,4.482664,4.482664,0.0,3.179988,3.179988,0.0,-23.203163,-23.203163,0.0,5.5333366,5.5333366,0.0,-11.650109,-11.650109,0.0,12.69828,12.69828,0.0,10.743831,10.743831,0.0,16.790384,16.790384,0.0,12.143235,12.143235,0.0,6.497299,6.497299,0.0,4.3853116,4.3853116,0.0,3.0684655,3.0684655,0.0
0.20569749,0.20569749,0.0,0.05388011,0.05388011,0.0,2628.258294614731,2628.258294614731,0.0,2395.6566045742097,2395.6566045742097,0.0,4729.211000942575,4729.211000942575,0.0,0.12296983758700696,0.12296983758700696,0.0,-341.15356,-341.15356,0.0,35.137638,35.137638,0.0,-19.301273,-19.301273,0.0,9.304122,9.304122,0.0,-29.86091,-29.86091,0.0,-19.489462,-19.489462,0.0,3.8270338,3.8270338,0.0,-28.004717,-28.004717,0.0,7.542543,7.542543,0.0,-8.528963,-8.528963,0.0,-16.047144,-16.047144,0.0,-0.120045245,-0.120045245,0.0,-17.427551,-17.427551,0.0,6.443336,6.443336,0.0,-8.609075,-8.609075,0.0,7.295795,7.295795,0.0,5.4484324,5.4484324,0.0,8.364699,8.364699,0.0,8.777927,8.777927,0.0,2.7075999,2.7075999,0.0
0.21169777,0.21169777,0.0,0.04237401,0.04237401,0.0,2636.7360148993344,2636.7360148993344,0.0,2350.894927422516,2350.894927422516,0.0,4733.957298615139,4733.957298615139,0.0,0.12904899579466358,0.12904899579466358,0.0,-364.3865,-364.3865,0.0,30.469421,30.469421,0.0,-30.997892,-30.997892,0.0,9.798845,9.798845,0.0,-31.106611,-31.106611,0.0,-26.277855,-26.277855,0.0,9.281506,9.281506,0.0,-32.950974,-32.950974,0.0,11.448931,11.448931,0.0,-6.05376,-6.05376,0.0,-18.181486,-18.181486,0.0,0.0060354886,0.0060354886,0.0,-13.587314,-13.587314,0.0,3.6015012,3.6015012,0.0,-6.943322,-6.943322,0.0,7.6756463,7.6756463,0.0,6.8301554,6.8301554,0.0,13.659846,13.659846,0.0,25.685112,25.685112,0.0,20.92554,20.92554,0.0
0.22535473,0.22535473,0.0,0.06423565,0.06423565,0.0,2600.943065237602,2600.943065237602,0.0,2498.133840151135,2498.133840151135,0.0,4987.809282555105,4987.809282555105,0.0,0.11225597266531323,0.11225597266531323,0.0,-315.99222,-315.99222,0.0,42.760895,42.760895,0.0,-27.663698,-27.663698,0.0,3.9212592,3.9212592,0.0,-21.25364,-21.25364,0.0,-21.556416,-21.556416,0.0,5.114246,5.114246,0.0,-28.614853,-28.614853,0.0,15.029936,15.029936,0.0,-7.4487257,-7.4487257,0.0,-13.363902,-13.363902,0.0,-4.6552954,-4.6552954,0.0,-14.00624,-14.00624,0.0,4.3634286,4.3634286,0.0,-13.854571,-13.854571,0.0,6.2802496,6.2802496,0.0,-2.0059185,-2.0059185,0.0,8.364291,8.364291,0.0,13.31443,13.31443,0.0,14.686397,14.686397,0.0
0.25974476,0.25974476,0.0,0.043035302,0.043035302,0.0,2163.8766597665553,2163.8766597665553,0.0,2417.864940649264,2417.864940649264,0.0,4251.983260223318,4251.983260223318,0.0,0.08673732961136892,0.08673732961136892,0.0,-372.64435,-372.64435,0.0,57.574696,57.574696,0.0,-6.858559,-6.858559,0.0,7.505796,7.505796,0.0,-16.607899,-16.607899,0.0,-9.760517,-9.760517,0.0,19.975039,19.975039,0.0,-14.612911,-14.612911,0.0,7.975987,7.975987,0.0,-4.4847755,-4.4847755,0.0,-12.1775675,-12.1775675,0.0,-7.807255,-7.807255,0.0,-13.05097,-13.05097,0.0,3.8412502,3.8412502,0.0,-10.68274,-10.68274,0.0,1.8008573,1.8008573,0.0,-6.7507057,-6.7507057,0.0,2.6304886,2.6304886,0.0,6.2826996,6.2826996,0.0,3.6879938,3.6879938,0.0
0.464368,0.464368,0.0,0.020330805,0.020330805,0.0,1504.5300474341618,1504.5300474341618,0.0,2137.476269444845,2137.476269444845,0.0,2527.3035885839618,2527.3035885839618,0.0,0.05767836426914153,0.05767836426914153,0.0,-515.34094,-515.34094,0.0,63.55622,63.55622,0.0,13.551026,13.551026,0.0,4.4000373,4.4000373,0.0,-4.105824,-4.105824,0.0,5.7367744,5.7367744,0.0,13.553276,13.553276,0.0,-0.3086691,-0.3086691,0.0,10.638563,10.638563,0.0,1.4339248,1.4339248,0.0,-4.084498,-4.084498,0.0,0.99305695,0.99305695,0.0,-2.8093474,-2.8093474,0.0,6.3887377,6.3887377,0.0,-2.4358442,-2.4358442,0.0,3.111379,3.111379,0.0,-2.2311773,-2.2311773,0.0,-0.45723745,-0.45723745,0.0,4.5298285,4.5298285,0.0,5.026395,5.026395,0.0
0.2485357,0.2485357,0.0,0.04634616,0.04634616,0.0,2005.652808126101,2005.652808126101,0.0,2267.592461803787,2267.592461803787,0.0,3807.8796811557427,3807.8796811557427,0.0,0.08675772186774942,0.08675772186774942,0.0,-392.02588,-392.02588,0.0,60.413776,60.413776,0.0,-10.904936,-10.904936,0.0,0.82144797,0.82144797,0.0,-12.708008,-12.708008,0.0,-8.356046,-8.356046,0.0,9.75818,9.75818,0.0,-15.53004,-15.53004,0.0,11.548117,11.548117,0.0,-1.1423653,-1.1423653,0.0,-15.25425,-15.25425,0.0,-4.9870768,-4.9870768,0.0,-15.748154,-15.748154,0.0,6.555478,6.555478,0.0,-4.6434655,-4.6434655,0.0,10.223168,10.223168,0.0,7.308382,7.308382,0.0,10.788387,10.788387,0.0,13.461848,13.461848,0.0,5.9144483,5.9144483,0.0
0.20736937,0.20736937,0.0,0.06537214,0.06537214,0.0,2520.5322165673,2520.5322165673,0.0,2430.142685017532,2430.142685017532,0.0,4717.220354190836,4717.220354190836,0.0,0.124986405162413,0.124986405162413,0.0,-344.87195,-344.87195,0.0,35.74946,35.74946,0.0,-31.831745,-31.831745,0.0,-17.179893,-17.179893,0.0,-24.107273,-24.107273,0.0,-28.233812,-28.233812,0.0,5.339437,5.339437,0.0,-30.826916,-30.826916,0.0,0.30622274,0.30622274,0.0,-3.6866596,-3.6866596,0.0,-25.556004,-25.556004,0.0,0.062271155,0.062271155,0.0,-15.830345,-15.830345,0.0,10.309424,10.309424,0.0,-6.959742,-6.959742,0.0,8.539656,8.539656,0.0,1.8123288,1.8123288,0.0,10.9511795,10.9511795,0.0,14.235184,14.235184,0.0,13.796496,13.796496,0.0
0.20299207,0.20299207,0.0,0.065757535,0.065757535,0.0,2428.8770454335454,2428.8770454335454,0.0,2455.663034700479,2455.663034700479,0.0,4681.098530851218,4681.098530851218,0.0,0.0977366861223898,0.0977366861223898,0.0,-321.30698,-321.30698,0.0,44.037975,44.037975,0.0,-22.945984,-22.945984,0.0,-4.74891,-4.74891,0.0,-26.215605,-26.215605,0.0,-11.710137,-11.710137,0.0,7.2883844,7.2883844,0.0,-29.488234,-29.488234,0.0,13.099873,13.099873,0.0,-1.3138915,-1.3138915,0.0,-20.215918,-20.215918,0.0,-4.947953,-4.947953,0.0,-18.918756,-18.918756,0.0,3.8840184,3.8840184,0.0,-9.641226,-9.641226,0.0,9.105634,9.105634,0.0,2.5482283,2.5482283,0.0,14.6229515,14.6229515,0.0,22.69431,22.69431,0.0,12.983766,12.983766,0.0
0.21586277,0.21586277,0.0,0.046129525,0.046129525,0.0,2081.8370532218864,2081.8370532218864,0.0,2293.748431513373,2293.748431513373,0.0,4076.6200514791185,4076.6200514791185,0.0,0.07508088928364269,0.07508088928364269,0.0,-329.3457,-329.3457,0.0,73.85962,73.85962,0.0,-16.939745,-16.939745,0.0,9.019151,9.019151,0.0,-21.817562,-21.817562,0.0,-19.259264,-19.259264,0.0,5.7020674,5.7020674,0.0,-27.106728,-27.106728,0.0,3.8345675,3.8345675,0.0,-8.44552,-8.44552,0.0,-20.859842,-20.859842,0.0,1.5232812,1.5232812,0.0,-23.598835,-23.598835,0.0,8.691841,8.691841,0.0,-12.833327,-12.833327,0.0,-2.1760929,-2.1760929,0.0,-7.5459037,-7.5459037,0.0,-5.72314,-5.72314,0.0,5.749903,5.749903,0.0,0.67107856,0.67107856,0.0
